store,labels,addr,lng,lat,lnum,label2,label3
金京商场,购物服务;商场;普通商场,解放大街157号金京大厦,126.969321,45.538375,1,商场,普通商场
银星中心,购物服务;商场;购物中心,绥满高速入口西150米,126.942788,45.540136,1,商场,购物中心
时尚阳光购物广场,购物服务;商场;普通商场,解放大街117源泽购物中心2层,126.972218,45.538303,1,商场,普通商场
富氏隆商贸城,购物服务;商场;普通商场,金都街道,126.97371100000001,45.537001000000004,1,商场,普通商场
天华商城,购物服务;商场;普通商场,解放大街120号,126.972852,45.537938,1,商场,普通商场
平山商贸城,购物服务;商场;普通商场,平山镇十字街,127.40298200000001,45.322677,1,商场,普通商场
步步高商场,购物服务;商场;普通商场,牌路大街260号百讯手机卖场,126.971305,45.536758,1,商场,普通商场
卓越时代购物广场,购物服务;商场;购物中心,双城镇和平大街19号,126.314467,45.364604,1,商场,购物中心
曼哈顿新世界购物广场,购物服务;商场;购物中心|购物服务;商场;普通商场,新世界购物广场4楼,126.31168799999999,45.367017,1,商场,购物中心
中央红金源商场,购物服务;商场;普通商场,解放路中央红金源商场2层,126.317403,45.370095,1,商场,普通商场
步行街商城,购物服务;商场;普通商场,团结大街184号附近,126.308454,45.363956,1,商场,普通商场
电业商厦,购物服务;商场;普通商场,和平大街2,126.31361000000001,45.366303,1,商场,普通商场
地下商贸城(名门盛景东),购物服务;商场;普通商场,和平大街与文昌大街交叉口东50米,126.314526,45.366811,1,商场,普通商场
浩宁商场,购物服务;商场;普通商场,拥政胡同与文昌大街交叉口东50米,126.317679,45.367633,1,商场,普通商场
保利商场,购物服务;商场;普通商场,466乡道北50米,126.390332,45.544965999999995,1,商场,普通商场
新百百货商场,购物服务;商场;普通商场,团结大街23号附近,126.31184499999999,45.367228999999995,1,商场,普通商场
贸易城,购物服务;商场;普通商场,双花园大街4号,126.31348600000001,45.367365,1,商场,普通商场
