store,labels,addr,lng,lat,lnum,label2,label3
大台北鞋城(中央大街店),购物服务;服装鞋帽皮具店;服装鞋帽皮具店,中央大街128号,126.61882800000001,45.773934999999994,1,服装鞋帽皮具店,服装鞋帽皮具店
万达广场C座,购物服务;商场;普通商场|购物服务;商场;购物中心,友谊路187号,126.61519799999999,45.778515999999996,1,商场,普通商场
金帝商城,购物服务;商场;普通商场,中央大街与端街交叉口东50米,126.620318,45.769833,1,商场,普通商场
航兴购物,购物服务;商场;普通商场,太平国际机场T0航站楼国际出发,126.254871,45.631363,1,商场,普通商场
原宿春天购物广场A座,购物服务;商场;购物中心,中央大街222号,126.618467,45.778418,1,商场,购物中心
爱嘉亚麻,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,华兴街31号(顾乡新天地家园小区5号楼门市),126.584254,45.737970000000004,1,服装鞋帽皮具店,服装鞋帽皮具店
金猴皮鞋(新阳路),购物服务;服装鞋帽皮具店;品牌鞋店,新阳路177号,126.614002,45.757671,1,服装鞋帽皮具店,品牌鞋店
美乐商城(石头道街店),购物服务;商场;普通商场,石头道街57号(近金太阳),126.62808999999999,45.771999,1,商场,普通商场
星期六(东九道街),购物服务;服装鞋帽皮具店;品牌鞋店,石头道街118号新一百购物广场2楼FBL室专柜,126.62513999999999,45.769241,1,服装鞋帽皮具店,品牌鞋店
腾龙箱包百货广场,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,买卖街103-107号滕龙商厦,126.630651,45.771546,1,服装鞋帽皮具店,服装鞋帽皮具店
乔丹体育(西十三道街),购物服务;体育用品店;体育用品店,西十三道街54-56号,126.621058,45.769729,1,体育用品店,体育用品店
松雷国际(装修中),购物服务;商场;普通商场,中央大街与霞曼街交叉口西50米,126.619548,45.77042,1,商场,普通商场
名人皮草(新阳路),购物服务;服装鞋帽皮具店;服装鞋帽皮具店,经纬二道街12号,126.621261,45.766325,1,服装鞋帽皮具店,服装鞋帽皮具店
小思鞋店,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,东风街40号中央商场旁,126.61708899999999,45.771838,1,服装鞋帽皮具店,服装鞋帽皮具店
SEMIR,购物服务;服装鞋帽皮具店;品牌服装店,西十二道街42号,126.620152,45.769558,1,服装鞋帽皮具店,品牌服装店
金安国际购物广场(2号门),购物服务;商场;购物中心,中央大街73号金安国际购物广场,126.619599,45.771912,1,商场,购物中心
ZARA(金安中央大街店),购物服务;服装鞋帽皮具店;品牌服装店,中央大街69号金安国际购物广场f1层121、125、f2层230-253,126.62028799999999,45.771328999999994,1,服装鞋帽皮具店,品牌服装店
Duty Jiee Shop免税商场,购物服务;商场;普通商场,中医街与中央大街交叉口东北50米,126.618624,45.775587,1,商场,普通商场
新东方皮草广场,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,石头道街1号(近透笼批发市场),126.63153100000001,45.77274,1,服装鞋帽皮具店,服装鞋帽皮具店
英国保罗(买卖街店),购物服务;服装鞋帽皮具店;品牌皮具店,买卖街111号哈尔滨新一百2/4层,126.630583,45.77172,1,服装鞋帽皮具店,品牌皮具店
阿依莲(西十二道街),购物服务;服装鞋帽皮具店;品牌服装店,中央大街西十二道街10号,126.62113400000001,45.770502,1,服装鞋帽皮具店,品牌服装店
李宁(万象店),购物服务;体育用品店;李宁专卖店,中央大街137-139号万象城2层,126.61878999999999,45.775552000000005,1,体育用品店,李宁专卖店
人和索菲春天购物广场(华联商厦店),购物服务;商场;普通商场,地段街128-8号,126.627058,45.771382,1,商场,普通商场
SuSu国际名品,购物服务;服装鞋帽皮具店;品牌服装店,红霞街27号,126.617677,45.774364,1,服装鞋帽皮具店,品牌服装店
束兰皮草广场(尚志大街),购物服务;服装鞋帽皮具店;服装鞋帽皮具店,尚志大街76号(近西十六道街),126.62390900000001,45.767461,1,服装鞋帽皮具店,服装鞋帽皮具店
东海台球用品商店,购物服务;体育用品店;体育用品店,买卖街35号,126.632276,45.76781,1,体育用品店,体育用品店
悦荟,购物服务;商场;普通商场,斯大林街与步行街交叉口西150米,126.615974,45.779793,1,商场,普通商场
米梵(新阳路),购物服务;服装鞋帽皮具店;服装鞋帽皮具店,经纬二道街49号,126.62048700000001,45.766178000000004,1,服装鞋帽皮具店,服装鞋帽皮具店
Hotwind(金安国际购物广场),购物服务;服装鞋帽皮具店;品牌服装店,中央大街69号金安国际购物广场B1层65号,126.62046200000002,45.771578999999996,1,服装鞋帽皮具店,品牌服装店
申格体育(万达店),购物服务;体育用品店;体育用品店,中央大街232号万达商业广场A座负一层,126.61701299999999,45.779545,1,体育用品店,体育用品店
ONLY(金安国际购物广场),购物服务;服装鞋帽皮具店;品牌服装店,中央大街69号金安国际购物广场f2层205、f206,126.61996699999999,45.772151,1,服装鞋帽皮具店,品牌服装店
百斯盾(安国街店),购物服务;服装鞋帽皮具店;品牌服装店,安国街附65号,126.612583,45.763346000000006,1,服装鞋帽皮具店,品牌服装店
EVISU(金安国际购物广场),购物服务;服装鞋帽皮具店;品牌服装店,中央大街69号金安国际购物广场f1层107,126.62051699999999,45.772,1,服装鞋帽皮具店,品牌服装店
Levi's(金安国际购物广场),购物服务;服装鞋帽皮具店;品牌服装店,中央大街69号金安国际购物广场f2层223,126.62028899999999,45.771576,1,服装鞋帽皮具店,品牌服装店
以纯(顾乡大街店),购物服务;服装鞋帽皮具店;品牌服装店,顾乡大街89号,126.58631899999999,45.736746000000004,1,服装鞋帽皮具店,品牌服装店
FONDBERYL(百盛购物中心),购物服务;服装鞋帽皮具店;品牌鞋店,中央大街222号百盛购物中心B1层,126.616818,45.77884,1,服装鞋帽皮具店,品牌鞋店
IHAPPY海贝(西十二道街店),购物服务;服装鞋帽皮具店;品牌服装店,西十二道街2、4-1,126.62276000000001,45.770734999999995,1,服装鞋帽皮具店,品牌服装店
思莱德(金安国际购物广场),购物服务;服装鞋帽皮具店;品牌服装店,中央大街69号金安国际购物广场f4层405-406,126.62018700000002,45.772186,1,服装鞋帽皮具店,品牌服装店
第一夫人皮草精品商厦,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,中央大街104号(近西八道街),126.61908799999999,45.772708,1,服装鞋帽皮具店,服装鞋帽皮具店
振龙批发,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,买卖街99-1号,126.630848,45.771156,1,服装鞋帽皮具店,服装鞋帽皮具店
欧亚皮草,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,田地街124号,126.625468,45.767224,1,服装鞋帽皮具店,服装鞋帽皮具店
Lagogo(金安国际购物广场店),购物服务;服装鞋帽皮具店;品牌服装店,中央大街69号金安国际购物广场f3层331、f332,126.62026499999999,45.771244,1,服装鞋帽皮具店,品牌服装店
屈臣氏(悦荟店),购物服务;个人用品/化妆品店;其它个人用品店,中央大街防洪纪念塔B1层(原宿春天商场),126.61631000000001,45.778824,1,个人用品/化妆品店,其它个人用品店
卡玛(悦荟店),购物服务;服装鞋帽皮具店;品牌服装店,中央大街134号,126.61873700000001,45.774264,1,服装鞋帽皮具店,品牌服装店
